latency,packet_size,login_attempts,error_rate,country,label
52,3266,3,0.014848215517752545,India,1
48,3246,2,0.01863674914772643,USA,1
41,2803,3,0.010053262415600159,Denmark,1
48,3356,1,0.014981818373699368,India,1
367,88553,33,0.8353175201969879,Unknown,-1
15,2803,3,0.010403934558587461,Denmark,1
1099,98669,89,1.0049002808702936,Russia,-1
55,1980,3,0.003973605236790146,India,1
36,3160,3,0.01283623717002308,Japan,1
59,2626,3,0.013763541357115572,Denmark,1
39,3266,1,0.014408148900786635,Brazil,1
54,3527,2,0.00684720062675978,Denmark,1
41,3686,3,0.010986096627389147,India,1
883,88566,39,0.7665269852863197,Unknown,-1
33,2986,3,0.013412835230400138,Japan,1
52,3175,2,0.0076621134171644106,Denmark,1
35,3070,3,0.011458672895431342,Brazil,1
57,4151,3,0.01914988690664523,Denmark,1
40,3005,1,0.010973636465824055,USA,1
25,3628,1,0.012679142542513622,Denmark,1
51,3780,3,0.01177566874701814,India,1
55,2386,2,0.014456713050243021,Japan,1
866,102652,33,0.7237503445590074,Russia,-1
47,2536,3,0.003565516457948197,Japan,1
45,2952,2,0.025694417793183197,USA,1
41,2536,1,0.007531131969626398,Brazil,1
47,2191,3,0.013028443812263351,Brazil,1
49,2511,2,0.0056811750466805,Denmark,1
46,2799,2,0.008086097120758438,Japan,1
26,2979,3,0.012535399742178654,Brazil,1
779,122538,63,0.7583544478700531,China,-1
47,2680,1,0.0065971916407152244,Brazil,1
40,3572,3,0.011277427318241273,India,1
49,2315,2,0.015190842371695608,Japan,1
691,103863,38,0.960538944820677,Unknown,-1
49,2518,1,0.016218558648211985,Denmark,1
51,3258,2,0.013076568529557431,Brazil,1
39,1966,3,0.004445211401261146,Japan,1
49,3046,1,0.008865299869823802,Japan,1
60,2502,2,0.014422066417688638,Japan,1
795,80621,97,0.7622029113127641,China,-1
52,3091,3,0.008712787129990648,India,1
55,2841,1,0.014016129753949315,India,1
927,103687,76,0.8547719064966477,Russia,-1
30,2995,3,0.009626602821188908,Brazil,1
55,3040,3,0.0010302870727978732,India,1
55,3254,2,0.013273839903894549,Denmark,1
47,3015,1,0.006924371874323064,USA,1
42,2656,3,0.008543110216433674,Japan,1
42,3531,1,0.011895652043868245,USA,1
56,3462,1,0.005760573762177957,India,1
44,3298,1,0.006215722856525739,Brazil,1
62,3367,1,0.01126833081388751,India,1
55,3190,2,0.006072484120125495,India,1
53,3475,3,0.01812045108114111,Denmark,1
46,2729,3,0.004079207227505176,USA,1
53,2989,3,0.007776311966635571,India,1
30,2948,3,0.01193645353230761,USA,1
49,2844,3,0.007841581554744388,Japan,1
48,3494,2,0.014560166098126923,Denmark,1
36,3447,3,0.004419804815473887,India,1
66,3637,1,0.01747162824444612,India,1
61,1808,3,0.00919366660593939,USA,1
47,3241,1,0.013429846487090816,India,1
47,3137,2,0.015635627694197927,India,1
43,3157,1,0.01171674823114631,Japan,1
47,2925,1,0.013846874373768388,Denmark,1
35,2742,3,0.006294976398214664,Japan,1
34,2601,1,0.01558902199506312,Japan,1
42,3011,1,0.005393090533280107,Brazil,1
57,2906,1,8.420714578905204e-05,Denmark,1
49,3247,3,0.007328697770984365,Denmark,1
24,2761,3,0.011515645752972543,Brazil,1
570,92948,90,0.7373484968801283,Russia,-1
42,2309,2,0.008091968112287068,Japan,1
52,3026,2,0.00546076028284917,Japan,1
47,3626,1,0.016822944447322012,Japan,1
29,2924,2,0.016462572518052034,USA,1
43,3161,3,0.01138065392194888,Japan,1
1099,81556,50,0.7663619741996364,Brazil,-1
62,1657,1,0.02210417899857679,Japan,1
56,2416,2,0.01476288247593659,India,1
38,3246,2,0.014108849868644524,Brazil,1
47,2290,2,0.006253292694936135,India,1
41,2527,1,0.012532011704046183,India,1
41,2843,1,0.018175775677146663,USA,1
31,3086,2,0.014720019968257975,USA,1
52,3013,1,0.008289756880135625,India,1
46,3843,3,0.013561693626446289,Denmark,1
42,3676,1,0.009569333206936865,Brazil,1
56,2878,3,0.0016111116543060574,Japan,1
47,2653,1,0.011827881667984546,USA,1
55,2855,2,0.00991986859729322,Brazil,1
59,3409,2,0.008807601687515293,USA,1
49,2820,2,0.005873317653597007,Denmark,1
56,3308,1,0.005230653490366155,India,1
40,3091,2,0.020694609624071283,Japan,1
56,2559,3,0.01576276534362267,Denmark,1
42,2422,3,0.012371697951494507,India,1
804,92250,98,0.8642874616384912,Russia,-1
54,3652,1,0.014586854122743367,Japan,1
57,3456,3,0.010010128939759335,Denmark,1
39,3458,2,0.011875644368872635,Denmark,1
52,3502,3,0.007009850173978045,Denmark,1
41,2648,2,0.00848034420748104,USA,1
60,2985,2,0.00984986149861058,Denmark,1
51,3459,3,0.011416775915325077,Japan,1
57,2893,1,0.012026995857959577,Japan,1
44,2929,2,0.0053120831216253665,India,1
56,3592,3,0.01817385510248353,India,1
36,2112,3,0.006341286954399743,Brazil,1
52,2697,2,0.00390708975635745,Denmark,1
52,2767,3,0.00726826499845384,Brazil,1
48,2947,1,0.0017164826366700813,Japan,1
42,3688,3,0.006237049586395371,India,1
59,2794,1,0.0026979796282921185,Denmark,1
529,79349,77,0.9375935679706695,China,-1
56,3714,3,0.020394268409922197,Japan,1
36,2613,3,0.0057146446527518956,India,1
28,3396,1,0.013068737607347095,USA,1
638,98343,85,0.6985610616173531,Brazil,-1
54,3039,3,0.00958587774480462,USA,1
48,2339,3,0.01163319967616843,USA,1
47,3119,3,0.016769271404750537,Brazil,1
58,3015,3,0.009911656775840303,Denmark,1
46,3122,3,0.008200553179581328,USA,1
45,3542,2,0.02176341883522232,Denmark,1
39,2393,1,0.004890242684987028,Denmark,1
58,2435,3,0.015569215769955617,Japan,1
32,3274,3,0.006664077230337755,USA,1
27,3090,3,0.018598282943150378,Denmark,1
51,3226,3,0.021648107101325104,Japan,1
34,3060,1,0.000589386446352886,USA,1
859,106169,59,0.915653622235012,Brazil,-1
38,3139,3,0.012785831001626915,Denmark,1
47,3041,3,0.01691712169974886,USA,1
43,3438,1,0.004039765262475681,Japan,1
45,3034,1,0.008015351163159105,USA,1
64,2802,1,0.011032165708520978,Japan,1
41,3376,3,0.0017331174866198774,India,1
39,3219,3,0.0060398046557834,Japan,1
39,3175,1,0.009067765893463172,USA,1
59,2426,2,0.0064351394653178835,India,1
45,3199,1,0.012945396289740032,Brazil,1
49,3288,2,0.012238580057350896,India,1
889,71365,61,0.7733947400309493,Unknown,-1
53,3476,2,0.01025644432793542,Brazil,1
49,2827,1,0.01344189451290404,Denmark,1
41,2471,2,0.018212696239597863,Japan,1
57,3016,1,0.017825963551320392,Japan,1
987,105121,69,0.8129881315932722,Brazil,-1
33,3450,3,0.012271975985314437,Brazil,1
40,2349,2,0.011786487853671706,Brazil,1
46,3427,3,0.013574203218947192,Brazil,1
48,2181,1,0.018802972802576257,Japan,1
56,2249,2,0.00815798509458163,USA,1
47,2856,1,0.0034988851394938715,USA,1
35,3431,3,0.01849285629240386,India,1
32,3451,3,0.014027892810332683,Japan,1
52,3271,1,0.0064842440152790976,India,1
45,2631,1,0.010731216122346992,Japan,1
44,2822,2,0.0063200239969514495,Japan,1
59,2431,1,0.011424458664556878,Japan,1
42,3048,2,0.009648939683988089,India,1
55,1588,3,0.00952188141122689,Denmark,1
51,2241,3,0.015734828744918484,USA,1
36,2840,2,0.015541168566712464,Brazil,1
37,3224,3,0.009307256568774265,USA,1
33,2739,1,0.00829587525497128,Denmark,1
49,2150,1,0.0025665193751294533,USA,1
39,2996,3,0.008908622821060686,India,1
49,3711,3,0.016519083883026454,USA,1
754,103713,92,0.8407475816181639,Russia,-1
48,2516,2,0.0034777483683259107,Brazil,1
892,101547,53,0.8780838479348351,Unknown,-1
48,2941,1,0.008272285344252676,Brazil,1
53,3405,1,0.0073816834823014635,Denmark,1
38,3495,1,0.01158141254882999,India,1
47,2545,2,0.017782097449392312,Japan,1
42,3920,3,0.011512691276514888,Denmark,1
46,3577,1,0.012614123465847789,Japan,1
37,3425,2,0.012168103988414825,India,1
40,3822,1,0.0059438952321475,Denmark,1
45,2685,2,0.013513915153449888,India,1
45,3100,3,0.004753599805514889,Brazil,1
846,98817,68,0.6212085724237225,Unknown,-1
38,3157,1,0.011910175754525269,Brazil,1
47,2213,1,0.010484460275137955,USA,1
62,3598,3,0.015062478665558432,India,1
50,1839,2,0.007447699648529827,USA,1
31,3196,2,0.015123907711079868,India,1
49,2250,2,0.0055737029074509024,USA,1
51,3575,1,0.0023521734608010006,USA,1
61,3491,2,0.007651049858748519,Japan,1
36,4285,3,0.011965389427421449,Japan,1
41,2496,1,0.01102835966225988,USA,1
54,2685,2,0.008669752463110643,USA,1
51,3265,1,0.010949920070107092,India,1
48,2670,2,0.011702845732834996,India,1
54,2133,1,0.00892837819870384,Japan,1
40,2371,1,0.008766809444970432,Denmark,1
44,3272,1,0.007486537454248495,USA,1
41,2819,3,0.007754930408596738,Denmark,1
51,3476,1,0.013297003193572193,USA,1
53,3129,2,0.008954675161481924,USA,1
29,3395,2,0.01674005870281697,Brazil,1
49,3568,1,0.010387532827009409,Brazil,1
36,2850,1,0.010236965240316023,Japan,1
54,2633,3,0.01480917969781904,India,1
60,2922,1,0.003554248916689694,USA,1
26,2137,2,0.010337252192155122,Denmark,1
45,2820,3,0.005521751205293344,USA,1
29,3160,3,0.006431408136535864,Brazil,1
43,3536,1,0.009276376650102966,USA,1
42,3114,3,0.01145368791435913,Denmark,1
48,2900,3,0.006854613886220718,USA,1
33,2932,1,0.006360655402250454,USA,1
22,2879,3,0.013586786560171699,Brazil,1
41,2727,2,0.011057606157392525,Denmark,1
819,94997,59,0.8104463640205728,Russia,-1
34,2510,3,0.008396749089415855,USA,1
35,4113,1,0.000961972076015236,India,1
45,2062,3,0.007522553772308319,USA,1
43,3069,2,0.020741725678688407,India,1
44,2338,3,0.012138635424947565,USA,1
43,2637,2,0.008101587455414507,India,1
28,3263,1,0.0018332356638705322,Denmark,1
62,3340,2,0.015710706387912405,Japan,1
396,104972,25,0.9793549464232478,China,-1
37,2262,1,0.009599551564874659,USA,1
722,90800,32,0.7471256878554516,China,-1
1084,84004,66,0.7500631990774809,Russia,-1
933,111259,67,0.9411900691394472,Russia,-1
41,2127,1,0.006602355139548179,Japan,1
24,3174,1,0.012772010905999574,USA,1
38,3563,1,0.006280935111682148,Japan,1
35,3362,1,0.005120278816271798,Japan,1
36,3264,1,0.00278486964337184,Brazil,1
33,2850,2,0.007893023650426519,Denmark,1
38,2606,2,0.011626910202251348,USA,1
